VariablesInteres,VariablesCondicionadas,VariablesMarginalizadas,TiempoEjecucion(us),EstadosEvaluados
4,5,11,4235.77,1048576
4,5,11,3091.19,1048576
4,5,11,3558.76,1048576
4,5,11,3842.07,1048576
4,5,11,3243.78,1048576
4,5,11,3025.53,1048576
4,5,11,3994.62,1048576
4,5,11,3883.85,1048576
4,6,10,2357.47,1048576
4,6,10,2487.80,1048576
4,6,10,2488.12,1048576
4,6,10,2632.93,1048576
4,6,10,2448.89,1048576
4,6,10,1941.23,1048576
4,6,10,2061.37,1048576
4,6,10,2220.87,1048576
4,6,10,2268.55,1048576
4,6,10,2139.30,1048576
4,6,10,2098.30,1048576
4,6,10,2192.04,1048576
4,6,10,2350.17,1048576
4,6,10,2096.73,1048576
4,6,10,2287.76,1048576
4,6,10,2291.26,1048576
4,6,10,2437.94,1048576
4,6,10,1876.36,1048576
4,6,10,1925.44,1048576
4,6,10,2455.46,1048576
4,7,9,1827.19,1048576
4,7,9,1767.96,1048576
4,7,9,1664.77,1048576
4,7,9,1638.68,1048576
4,7,9,1606.29,1048576
4,7,9,1815.74,1048576
4,7,9,1788.91,1048576
4,7,9,1620.73,1048576
4,7,9,1691.66,1048576
4,7,9,2039.63,1048576
4,7,9,1831.53,1048576
4,7,9,1619.05,1048576
4,7,9,1624.35,1048576
4,7,9,1888.51,1048576
4,7,9,1698.28,1048576
4,7,9,1726.22,1048576
4,7,9,1694.19,1048576
4,7,9,1816.17,1048576
4,7,9,1802.72,1048576
4,7,9,1932.03,1048576
4,8,8,1370.54,1048576
4,8,8,1407.45,1048576
4,8,8,1447.68,1048576
4,8,8,1388.80,1048576
4,8,8,1428.32,1048576
4,8,8,1480.09,1048576
4,8,8,1374.73,1048576
4,8,8,1464.98,1048576
4,8,8,1543.40,1048576
4,8,8,1391.58,1048576
4,8,8,1479.21,1048576
4,8,8,1457.42,1048576
4,8,8,1399.38,1048576
4,8,8,1445.22,1048576
4,8,8,1424.28,1048576
4,8,8,1453.14,1048576
4,8,8,1407.89,1048576
4,8,8,1462.45,1048576
4,8,8,1484.51,1048576
4,8,8,1388.33,1048576
5,0,15,74159.15,1048576
5,0,15,81922.38,1048576
5,0,15,93684.94,1048576
5,0,15,67858.95,1048576
5,0,15,56147.98,1048576
5,0,15,71293.50,1048576
5,0,15,93231.94,1048576
5,0,15,70918.31,1048576
5,0,15,60947.00,1048576
5,0,15,69557.43,1048576
5,0,15,94920.40,1048576
5,0,15,86916.29,1048576
5,0,15,69980.62,1048576
5,0,15,94180.72,1048576
5,0,15,86134.10,1048576
5,0,15,83114.83,1048576
5,0,15,67439.21,1048576
5,0,15,66677.26,1048576
5,0,15,79294.08,1048576
5,0,15,57323.27,1048576
5,1,14,33228.42,1048576
5,1,14,41885.60,1048576
5,1,14,40213.75,1048576
5,1,14,44836.92,1048576
5,1,14,44148.84,1048576
5,1,14,34617.43,1048576
5,1,14,38019.90,1048576
5,1,14,42200.89,1048576
5,1,14,51388.90,1048576
5,1,14,42650.20,1048576
5,1,14,34541.50,1048576
5,1,14,42487.63,1048576
5,1,14,45578.54,1048576
5,1,14,35419.71,1048576
5,1,14,45301.05,1048576
5,1,14,41438.79,1048576
5,1,14,45299.02,1048576
5,1,14,37258.32,1048576
5,1,14,42345.01,1048576
5,1,14,33400.92,1048576
5,2,13,18549.95,1048576
5,2,13,21143.89,1048576
5,2,13,16666.18,1048576
5,2,13,17691.21,1048576
5,2,13,17700.81,1048576
5,2,13,21604.97,1048576
5,2,13,22899.11,1048576
5,2,13,17697.25,1048576
5,2,13,21915.90,1048576
5,2,13,16384.10,1048576
5,2,13,21941.42,1048576
5,2,13,22079.27,1048576
5,2,13,21774.41,1048576
5,2,13,21180.55,1048576
5,2,13,21694.42,1048576
5,2,13,16724.88,1048576
5,2,13,18994.62,1048576
5,2,13,15800.47,1048576
5,2,13,17760.72,1048576
5,2,13,16720.35,1048576
5,3,12,13303.41,1048576
5,3,12,11103.57,1048576
5,3,12,11581.45,1048576
5,3,12,10760.33,1048576
5,3,12,10518.40,1048576
5,3,12,13114.94,1048576
5,3,12,9628.40,1048576
